Device Type,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
desktop,BrandProtection,10373,474,340,97.60000000000001,10.0,271.57
desktop,Competitors,25718,978,642,2802.5,25.0,620.43
desktop,Features,24353,1534,1064,7340.2,20.0,452.69
desktop,PLUS-ProductReview,232,36,11,119.0,3.0,105.0
desktop,ProductReview,49442,8843,6681,21460.6,178.0,4110.32
desktop,Review-variations,15141,922,567,3129.38,5.0,150.9
desktop,Trust,5412,275,171,1340.0,5.0,120.91
