Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
BB,Trust,0,0,0,0.0,0.0,0.0
BD,BR-PT-Generic,1,0,0,0.0,0.0,0.0
BD,BrandProtection,9,1,1,0.3,0.0,0.0
BD,Competitors,65,3,1,11.0,0.0,0.0
BD,DE-Generic,70,2,1,5.0,0.0,0.0
BD,ES-Generic,28,0,0,0.0,0.0,0.0
BD,Features,102,8,7,40.0,0.0,0.0
BD,ProductReview,133,26,21,67.4,0.0,0.0
BD,Review-variations,108,4,2,14.5,0.0,0.0
BD,Trust,7,0,0,0.0,0.0,0.0
BE,BR-PT-Generic,45,1,0,5.0,0.0,0.0
BE,BrandProtection,98,3,2,0.6000000000000001,0.0,0.0
BE,Competitors,157,5,2,15.0,0.0,0.0
BE,DE-Generic,63,1,0,3.0,0.0,0.0
BE,ES-Generic,140,11,7,31.04,1.0,30.46
BE,Features,148,10,3,45.6,0.0,0.0
BE,ProductReview,285,48,33,123.4,0.0,0.0
BE,Review-variations,119,8,6,21.46,0.0,0.0
BE,Trust,38,9,3,38.0,1.0,15.22
BF,BR-PT-Generic,20,1,0,5.0,0.0,0.0
BF,BrandProtection,1,0,0,0.0,0.0,0.0
BF,Competitors,5,0,0,0.0,0.0,0.0
BF,DE-Generic,0,0,0,0.0,0.0,0.0
BF,ES-Generic,2,0,0,0.0,0.0,0.0
BF,Features,5,1,1,5.0,0.0,0.0
BF,ProductReview,1,0,0,0.0,0.0,0.0
BF,Review-variations,1,0,0,0.0,0.0,0.0
BF,Trust,4,0,0,0.0,0.0,0.0
BG,BR-PT-Generic,1,0,0,0.0,0.0,0.0
BG,BrandProtection,45,0,0,0.0,0.0,0.0
BG,Competitors,71,1,1,2.5,1.0,15.23
BG,DE-Generic,47,0,0,0.0,0.0,0.0
BG,ES-Generic,24,2,1,7.04,0.0,0.0
BG,Features,64,6,5,32.0,0.0,0.0
BG,ProductReview,226,51,33,113.8,0.0,0.0
BG,Review-variations,55,0,0,0.0,0.0,0.0
BG,Trust,35,4,2,26.0,0.0,0.0
BH,BrandProtection,4,0,0,0.0,0.0,0.0
BH,Competitors,4,0,0,0.0,0.0,0.0
BH,DE-Generic,4,0,0,0.0,0.0,0.0
BH,ES-Generic,9,0,0,0.0,0.0,0.0
BH,Features,9,2,1,10.0,0.0,0.0
BH,ProductReview,17,4,3,8.2,0.0,0.0
BH,Review-variations,3,1,0,2.5,0.0,0.0
BH,Trust,5,0,0,0.0,0.0,0.0
BI,DE-Generic,0,0,0,0.0,0.0,0.0
BJ,BR-PT-Generic,55,0,0,0.0,0.0,0.0
BJ,BrandProtection,5,2,2,0.5,0.0,0.0
BJ,Competitors,8,1,1,2.0,0.0,0.0
BJ,DE-Generic,1,0,0,0.0,0.0,0.0
BJ,ES-Generic,15,1,1,2.5,0.0,0.0
BJ,Features,14,2,2,10.0,0.0,0.0
BJ,ProductReview,2,1,1,2.5,0.0,0.0
BJ,Review-variations,1,0,0,0.0,0.0,0.0
BJ,Trust,3,0,0,0.0,0.0,0.0
BL,DE-Generic,0,0,0,0.0,0.0,0.0
BL,ES-Generic,0,0,0,0.0,0.0,0.0
BM,ES-Generic,0,0,0,0.0,0.0,0.0
BM,Features,0,0,0,0.0,0.0,0.0
BM,Review-variations,0,0,0,0.0,0.0,0.0
BM,Trust,0,0,0,0.0,0.0,0.0
BN,DE-Generic,3,0,0,0.0,0.0,0.0
BN,ES-Generic,0,0,0,0.0,0.0,0.0
BN,Review-variations,1,0,0,0.0,0.0,0.0
BN,Trust,1,0,0,0.0,0.0,0.0
BO,BR-PT-Generic,78,4,1,19.0,0.0,0.0
BO,Competitors,7,0,0,0.0,0.0,0.0
BO,DE-Generic,2,1,1,4.0,0.0,0.0
BO,ES-Generic,23,3,2,11.04,0.0,0.0
BO,Features,3,0,0,0.0,0.0,0.0
BO,ProductReview,2,1,0,1.0,0.0,0.0
BO,Review-variations,17,0,0,0.0,0.0,0.0
BO,Trust,3,0,0,0.0,0.0,0.0
BQ,Competitors,2,0,0,0.0,0.0,0.0
BQ,DE-Generic,0,0,0,0.0,0.0,0.0
BQ,Review-variations,0,0,0,0.0,0.0,0.0
BR,BR-PT-Generic,2300,119,54,586.0,1.0,30.0
BR,BrandProtection,96,5,4,1.1,0.0,0.0
BR,Competitors,367,11,6,31.0,0.0,0.0
BR,DE-Generic,176,0,0,0.0,0.0,0.0
BR,ES-Generic,341,4,2,14.02,0.0,0.0
BR,Features,769,29,18,140.7,0.0,0.0
BR,IT-Generic,0,0,0,0.0,0.0,0.0
BR,ProductReview,738,126,96,288.0,2.0,45.0
BR,Review-variations,206,17,8,64.64,0.0,0.0
BR,Trust,108,5,2,23.0,0.0,0.0
BS,DE-Generic,0,0,0,0.0,0.0,0.0
BS,ES-Generic,1,0,0,0.0,0.0,0.0
BS,Features,1,0,0,0.0,0.0,0.0
BS,ProductReview,2,0,0,0.0,0.0,0.0
BS,Review-variations,3,1,1,5.0,0.0,0.0
BS,Trust,4,0,0,0.0,0.0,0.0
BT,ES-Generic,0,0,0,0.0,0.0,0.0
BT,Trust,0,0,0,0.0,0.0,0.0
BW,BrandProtection,0,0,0,0.0,0.0,0.0
BW,Competitors,1,0,0,0.0,0.0,0.0
BW,DE-Generic,2,0,0,0.0,0.0,0.0
BW,ES-Generic,2,0,0,0.0,0.0,0.0
BW,Features,1,0,0,0.0,0.0,0.0
BW,Review-variations,1,0,0,0.0,0.0,0.0
BW,Trust,3,0,0,0.0,0.0,0.0
BY,DE-Generic,4,0,0,0.0,0.0,0.0
BY,ES-Generic,2,0,0,0.0,0.0,0.0
BY,Features,1,0,0,0.0,0.0,0.0
BY,ProductReview,3,0,0,0.0,0.0,0.0
BY,Review-variations,0,0,0,0.0,0.0,0.0
BY,Trust,0,0,0,0.0,0.0,0.0
