Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
BM,Trust,0,0,0,0.0,0.0,0.0
BN,Competitors,1,0,0,0.0,0.0,0.0
BN,ProductReview,1,0,0,0.0,0.0,0.0
BN,Review-variations,1,0,0,0.0,0.0,0.0
BN,Trust,1,0,0,0.0,0.0,0.0
BO,Competitors,10,0,0,0.0,0.0,0.0
BO,Features,3,0,0,0.0,0.0,0.0
BO,ProductReview,2,1,0,1.0,0.0,0.0
BO,Review-variations,17,0,0,0.0,0.0,0.0
BO,Trust,3,0,0,0.0,0.0,0.0
BQ,Competitors,2,0,0,0.0,0.0,0.0
BQ,Review-variations,0,0,0,0.0,0.0,0.0
BR,BrandProtection,97,4,3,0.9,0.0,0.0
BR,Competitors,383,13,7,35.5,0.0,0.0
BR,Features,724,24,16,115.7,0.0,0.0
BR,PLUS-ProductReview,1,1,1,3.0,0.0,0.0
BR,ProductReview,757,130,98,289.3,1.0,30.0
BR,Review-variations,212,19,9,74.64,0.0,0.0
BR,Trust,116,4,2,19.0,0.0,0.0
BS,Features,1,0,0,0.0,0.0,0.0
BS,ProductReview,2,0,0,0.0,0.0,0.0
BS,Review-variations,1,1,1,5.0,0.0,0.0
BS,Trust,4,0,0,0.0,0.0,0.0
BT,Trust,0,0,0,0.0,0.0,0.0
BW,BrandProtection,0,0,0,0.0,0.0,0.0
BW,Competitors,1,0,0,0.0,0.0,0.0
BW,Features,1,0,0,0.0,0.0,0.0
BW,Review-variations,1,0,0,0.0,0.0,0.0
BW,Trust,3,0,0,0.0,0.0,0.0
BY,Features,1,0,0,0.0,0.0,0.0
BY,ProductReview,3,0,0,0.0,0.0,0.0
BY,Review-variations,0,0,0,0.0,0.0,0.0
BY,Trust,0,0,0,0.0,0.0,0.0
BZ,Features,1,0,0,0.0,0.0,0.0
BZ,ProductReview,2,0,0,0.0,0.0,0.0
BZ,Review-variations,0,0,0,0.0,0.0,0.0
BZ,Trust,0,0,0,0.0,0.0,0.0
CA,BrandProtection,296,16,11,3.2,0.0,0.0
CA,Competitors,569,26,22,79.5,2.0,45.69
CA,Features,575,47,37,213.4,2.0,45.0
CA,PLUS-ProductReview,5,1,1,3.0,1.0,15.0
CA,ProductReview,1554,242,186,580.1,7.0,212.94
CA,Review-variations,335,35,19,112.1,0.0,0.0
CA,Trust,131,6,4,28.0,1.0,15.23
CD,Competitors,6,0,0,0.0,0.0,0.0
CD,Features,2,0,0,0.0,0.0,0.0
CD,ProductReview,2,0,0,0.0,0.0,0.0
CD,Review-variations,1,0,0,0.0,0.0,0.0
CF,Competitors,1,0,0,0.0,0.0,0.0
CG,BrandProtection,1,0,0,0.0,0.0,0.0
CG,Competitors,1,0,0,0.0,0.0,0.0
CG,Features,3,0,0,0.0,0.0,0.0
CG,ProductReview,3,1,1,2.1,0.0,0.0
CH,BrandProtection,105,2,1,0.4,0.0,0.0
CH,Competitors,180,8,5,24.5,0.0,0.0
CH,Features,171,10,6,51.4,0.0,0.0
CH,ProductReview,295,41,34,113.1,1.0,30.45
CH,Review-variations,111,8,4,27.64,1.0,15.0
CH,Trust,49,3,0,14.0,0.0,0.0
CI,BrandProtection,21,3,3,0.6000000000000001,0.0,0.0
CI,Competitors,51,2,1,6.5,0.0,0.0
CI,Features,15,1,1,5.0,0.0,0.0
CI,ProductReview,13,3,2,9.5,0.0,0.0
CI,Review-variations,10,0,0,0.0,0.0,0.0
CI,Trust,12,0,0,0.0,0.0,0.0
CL,BrandProtection,83,2,0,0.4,0.0,0.0
CL,Competitors,415,6,4,16.0,0.0,0.0
CL,Features,149,6,4,30.0,0.0,0.0
CL,ProductReview,239,45,40,110.2,0.0,0.0
CL,Review-variations,118,7,4,18.0,0.0,0.0
CL,Trust,69,4,1,22.0,0.0,0.0
CM,BrandProtection,6,0,0,0.0,0.0,0.0
CM,Competitors,25,0,0,0.0,0.0,0.0
CM,Features,11,1,1,5.0,0.0,0.0
CM,ProductReview,13,1,1,3.0,0.0,0.0
CM,Review-variations,2,0,0,0.0,0.0,0.0
CM,Trust,2,0,0,0.0,0.0,0.0
CN,BrandProtection,32,4,4,0.8,0.0,0.0
CN,Competitors,61,8,2,23.0,1.0,45.0
CN,Features,124,5,4,21.0,0.0,0.0
CN,ProductReview,262,37,27,85.8,1.0,15.0
CN,Review-variations,32,0,0,0.0,0.0,0.0
CN,Trust,30,0,0,0.0,0.0,0.0
CO,BrandProtection,204,6,6,1.3,0.0,0.0
CO,Competitors,1268,23,15,61.0,0.0,0.0
CO,Features,349,25,17,129.0,0.0,0.0
CO,ProductReview,444,86,63,211.6,1.0,15.0
CO,Review-variations,229,12,9,35.46,0.0,0.0
