Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
AD,ProductReview,1,1,1,4.0,0.0,0.0
AD,Review-variations,0,0,0,0.0,0.0,0.0
AE,BrandProtection,49,2,2,0.4,0.0,0.0
AE,Competitors,95,7,3,20.0,0.0,0.0
AE,Features,111,5,3,23.5,0.0,0.0
AE,ProductReview,172,47,33,120.6,0.0,0.0
AE,Review-variations,116,2,1,5.0,0.0,0.0
AE,Trust,12,2,2,10.0,0.0,0.0
AF,Features,2,1,1,5.0,0.0,0.0
AF,ProductReview,4,0,0,0.0,0.0,0.0
AF,Review-variations,7,0,0,0.0,0.0,0.0
AL,BrandProtection,0,0,0,0.0,0.0,0.0
AL,Competitors,1,0,0,0.0,0.0,0.0
AL,Features,3,0,0,0.0,0.0,0.0
AL,ProductReview,2,0,0,0.0,0.0,0.0
AL,Review-variations,2,0,0,0.0,0.0,0.0
AM,BrandProtection,3,1,0,0.2,0.0,0.0
AM,Competitors,0,0,0,0.0,0.0,0.0
AM,Features,1,0,0,0.0,0.0,0.0
AM,ProductReview,0,0,0,0.0,0.0,0.0
AM,Review-variations,0,0,0,0.0,0.0,0.0
AM,Trust,0,0,0,0.0,0.0,0.0
AO,Competitors,1,0,0,0.0,0.0,0.0
AO,Features,0,0,0,0.0,0.0,0.0
AO,Review-variations,0,0,0,0.0,0.0,0.0
AR,BrandProtection,23,0,0,0.0,0.0,0.0
AR,Competitors,140,1,1,3.0,0.0,0.0
AR,Features,17,2,2,10.0,0.0,0.0
AR,ProductReview,34,7,3,17.5,0.0,0.0
AR,Review-variations,30,2,2,5.32,0.0,0.0
AR,Trust,17,0,0,0.0,0.0,0.0
AT,BrandProtection,9,0,0,0.0,0.0,0.0
AT,Competitors,22,0,0,0.0,0.0,0.0
AT,Features,13,0,0,0.0,0.0,0.0
AT,ProductReview,48,6,4,15.5,0.0,0.0
AT,Review-variations,33,2,2,7.5,0.0,0.0
AT,Trust,7,0,0,0.0,0.0,0.0
AU,BrandProtection,102,4,1,0.8,0.0,0.0
AU,Competitors,209,10,8,29.5,1.0,15.0
AU,Features,164,17,12,77.0,1.0,15.22
AU,ProductReview,691,135,101,348.2,3.0,45.68
AU,Review-variations,135,7,5,21.5,0.0,0.0
AU,Trust,49,1,0,8.0,0.0,0.0
AW,Review-variations,0,0,0,0.0,0.0,0.0
AZ,BrandProtection,0,0,0,0.0,0.0,0.0
AZ,Competitors,1,0,0,0.0,0.0,0.0
AZ,Features,6,0,0,0.0,0.0,0.0
AZ,ProductReview,4,0,0,0.0,0.0,0.0
AZ,Review-variations,3,0,0,0.0,0.0,0.0
BA,BrandProtection,1,0,0,0.0,0.0,0.0
BA,Competitors,1,0,0,0.0,0.0,0.0
BA,Features,3,0,0,0.0,0.0,0.0
BA,ProductReview,3,1,1,4.0,0.0,0.0
BA,Review-variations,3,0,0,0.0,0.0,0.0
BA,Trust,1,0,0,0.0,0.0,0.0
BB,ProductReview,1,1,1,2.1,0.0,0.0
BB,Review-variations,1,0,0,0.0,0.0,0.0
BB,Trust,0,0,0,0.0,0.0,0.0
BD,BrandProtection,2,0,0,0.0,0.0,0.0
BD,Competitors,14,0,0,0.0,0.0,0.0
BD,Features,41,5,4,25.0,0.0,0.0
BD,ProductReview,30,8,7,19.6,0.0,0.0
BD,Review-variations,42,2,1,6.5,0.0,0.0
BD,Trust,2,0,0,0.0,0.0,0.0
BE,BrandProtection,36,1,0,0.2,0.0,0.0
BE,Competitors,30,0,0,0.0,0.0,0.0
BE,Features,54,7,1,32.0,0.0,0.0
BE,ProductReview,69,14,10,39.1,0.0,0.0
BE,Review-variations,34,2,0,5.5,0.0,0.0
BE,Trust,14,0,0,0.0,0.0,0.0
BF,BrandProtection,1,0,0,0.0,0.0,0.0
BF,ProductReview,1,0,0,0.0,0.0,0.0
BG,BrandProtection,13,0,0,0.0,0.0,0.0
BG,Competitors,22,0,0,0.0,0.0,0.0
BG,Features,12,2,2,10.0,0.0,0.0
BG,ProductReview,43,6,4,12.4,0.0,0.0
BG,Review-variations,22,0,0,0.0,0.0,0.0
BG,Trust,7,1,1,5.0,0.0,0.0
BH,Competitors,3,0,0,0.0,0.0,0.0
BH,Features,4,1,0,5.0,0.0,0.0
BH,ProductReview,6,2,1,4.2,0.0,0.0
BH,Review-variations,1,1,0,2.5,0.0,0.0
BH,Trust,4,0,0,0.0,0.0,0.0
BJ,BrandProtection,0,0,0,0.0,0.0,0.0
BJ,Competitors,3,0,0,0.0,0.0,0.0
BJ,Features,1,1,1,5.0,0.0,0.0
BJ,Review-variations,1,0,0,0.0,0.0,0.0
BJ,Trust,0,0,0,0.0,0.0,0.0
BM,Features,0,0,0,0.0,0.0,0.0
BM,Review-variations,0,0,0,0.0,0.0,0.0
BN,Review-variations,1,0,0,0.0,0.0,0.0
BN,Trust,1,0,0,0.0,0.0,0.0
BO,Competitors,1,0,0,0.0,0.0,0.0
BO,Features,0,0,0,0.0,0.0,0.0
BO,ProductReview,0,0,0,0.0,0.0,0.0
BO,Review-variations,17,0,0,0.0,0.0,0.0
BQ,Review-variations,0,0,0,0.0,0.0,0.0
BR,BrandProtection,20,1,1,0.2,0.0,0.0
BR,Competitors,103,3,2,7.5,0.0,0.0
BR,Features,258,7,5,32.0,0.0,0.0
BR,ProductReview,223,29,25,66.2,0.0,0.0
BR,Review-variations,75,9,2,35.82,0.0,0.0
BR,Trust,16,1,1,4.0,0.0,0.0
BS,Review-variations,0,0,0,0.0,0.0,0.0
BW,BrandProtection,0,0,0,0.0,0.0,0.0
BW,Review-variations,1,0,0,0.0,0.0,0.0
BY,Review-variations,0,0,0,0.0,0.0,0.0
BZ,ProductReview,2,0,0,0.0,0.0,0.0
CA,BrandProtection,94,7,4,1.4000000000000001,0.0,0.0
CA,Competitors,154,7,7,23.5,0.0,0.0
CA,Features,131,13,10,56.0,0.0,0.0
CA,ProductReview,364,63,51,150.1,1.0,15.23
CA,Review-variations,136,6,2,19.82,0.0,0.0
CA,Trust,20,0,0,0.0,0.0,0.0
CD,Features,1,0,0,0.0,0.0,0.0
CD,Review-variations,0,0,0,0.0,0.0,0.0
CG,BrandProtection,1,0,0,0.0,0.0,0.0
CG,Features,2,0,0,0.0,0.0,0.0
CG,ProductReview,1,1,1,2.1,0.0,0.0
CH,BrandProtection,39,0,0,0.0,0.0,0.0
CH,Competitors,50,3,2,10.5,0.0,0.0
CH,Features,31,2,2,10.0,0.0,0.0
CH,ProductReview,55,11,10,30.4,0.0,0.0
CH,Review-variations,58,2,1,5.64,1.0,15.0
CH,Trust,9,2,0,9.0,0.0,0.0
CI,BrandProtection,1,1,1,0.2,0.0,0.0
CI,Competitors,18,0,0,0.0,0.0,0.0
CI,Features,8,1,1,5.0,0.0,0.0
CI,ProductReview,3,0,0,0.0,0.0,0.0
CI,Review-variations,2,0,0,0.0,0.0,0.0
CI,Trust,2,0,0,0.0,0.0,0.0
CL,BrandProtection,21,0,0,0.0,0.0,0.0
CL,Competitors,80,0,0,0.0,0.0,0.0
CL,Features,49,0,0,0.0,0.0,0.0
CL,ProductReview,53,13,10,28.9,0.0,0.0
CL,Review-variations,43,2,1,5.5,0.0,0.0
CL,Trust,17,1,1,5.0,0.0,0.0
CM,BrandProtection,2,0,0,0.0,0.0,0.0
CM,Competitors,3,0,0,0.0,0.0,0.0
CM,Features,5,1,1,5.0,0.0,0.0
CM,ProductReview,3,0,0,0.0,0.0,0.0
CM,Review-variations,0,0,0,0.0,0.0,0.0
CN,BrandProtection,7,1,1,0.2,0.0,0.0
CN,Competitors,17,1,0,3.0,0.0,0.0
CN,Features,29,0,0,0.0,0.0,0.0
CN,ProductReview,67,13,12,28.5,0.0,0.0
CN,Review-variations,12,0,0,0.0,0.0,0.0
CN,Trust,5,0,0,0.0,0.0,0.0
CO,BrandProtection,60,3,3,0.6,0.0,0.0
CO,Competitors,244,3,3,8.5,0.0,0.0
CO,Features,90,4,4,20.0,0.0,0.0
CO,ProductReview,72,17,11,44.2,0.0,0.0
CO,Review-variations,114,5,3,14.5,0.0,0.0
CO,Trust,49,3,3,15.0,0.0,0.0
CR,BrandProtection,5,0,0,0.0,0.0,0.0
CR,Competitors,6,0,0,0.0,0.0,0.0
CR,Features,12,0,0,0.0,0.0,0.0
CR,ProductReview,7,0,0,0.0,0.0,0.0
CR,Review-variations,7,0,0,0.0,0.0,0.0
CR,Trust,0,0,0,0.0,0.0,0.0
CW,Features,1,0,0,0.0,0.0,0.0
CW,ProductReview,3,0,0,0.0,0.0,0.0
CW,Trust,0,0,0,0.0,0.0,0.0
CY,BrandProtection,5,0,0,0.0,0.0,0.0
CY,Competitors,4,0,0,0.0,0.0,0.0
CY,Features,3,0,0,0.0,0.0,0.0
CY,ProductReview,3,0,0,0.0,0.0,0.0
CY,Review-variations,2,0,0,0.0,0.0,0.0
CY,Trust,4,0,0,0.0,0.0,0.0
CZ,BrandProtection,10,1,1,0.2,0.0,0.0
CZ,Competitors,23,1,1,2.5,0.0,0.0
CZ,Features,16,0,0,0.0,0.0,0.0
CZ,ProductReview,32,4,3,13.1,0.0,0.0
CZ,Review-variations,20,1,0,3.0,0.0,0.0
CZ,Trust,5,0,0,0.0,0.0,0.0
DE,BrandProtection,123,6,3,1.2,0.0,0.0
DE,Competitors,228,9,3,25.5,0.0,0.0
DE,Features,185,5,1,23.5,0.0,0.0
DE,ProductReview,335,39,28,103.9,2.0,30.450000000000003
DE,Review-variations,231,15,9,39.78,0.0,0.0
DE,Trust,26,1,0,4.0,0.0,0.0
DJ,BrandProtection,1,0,0,0.0,0.0,0.0
DK,BrandProtection,7,0,0,0.0,0.0,0.0
DK,Competitors,46,4,2,10.0,0.0,0.0
DK,Features,18,1,0,4.0,0.0,0.0
DK,ProductReview,64,9,8,27.1,0.0,0.0
DK,Review-variations,33,3,2,11.0,0.0,0.0
DK,Trust,5,0,0,0.0,0.0,0.0
DO,BrandProtection,5,0,0,0.0,0.0,0.0
DO,Competitors,5,1,0,3.0,0.0,0.0
DO,Features,8,0,0,0.0,0.0,0.0
DO,ProductReview,0,0,0,0.0,0.0,0.0
DO,Review-variations,10,0,0,0.0,0.0,0.0
DO,Trust,6,0,0,0.0,0.0,0.0
DZ,BrandProtection,3,1,1,0.2,0.0,0.0
DZ,Competitors,2,0,0,0.0,0.0,0.0
DZ,Features,13,1,1,5.0,0.0,0.0
DZ,ProductReview,14,5,5,13.6,0.0,0.0
DZ,Review-variations,10,0,0,0.0,0.0,0.0
DZ,Trust,3,1,1,4.0,0.0,0.0
EC,BrandProtection,2,1,0,0.2,0.0,0.0
EC,Competitors,83,0,0,0.0,0.0,0.0
EC,Features,25,2,2,8.0,0.0,0.0
EC,ProductReview,31,2,2,4.1,0.0,0.0
EC,Review-variations,18,0,0,0.0,0.0,0.0
EC,Trust,4,0,0,0.0,0.0,0.0
EE,BrandProtection,6,0,0,0.0,0.0,0.0
EE,Competitors,5,0,0,0.0,0.0,0.0
EE,Features,10,0,0,0.0,0.0,0.0
EE,ProductReview,33,5,4,11.1,0.0,0.0
EE,Review-variations,9,0,0,0.0,0.0,0.0
EE,Trust,1,0,0,0.0,0.0,0.0
EG,BrandProtection,36,2,2,0.4,0.0,0.0
EG,Competitors,38,2,2,6.0,0.0,0.0
EG,Features,50,2,1,10.0,0.0,0.0
EG,ProductReview,69,14,10,34.7,0.0,0.0
EG,Review-variations,97,6,5,23.32,0.0,0.0
EG,Trust,11,0,0,0.0,0.0,0.0
ES,BrandProtection,81,6,5,1.2000000000000002,1.0,15.22
ES,Competitors,255,10,7,31.0,1.0,15.22
ES,Features,180,15,13,73.0,1.0,15.23
ES,ProductReview,165,38,32,98.4,0.0,0.0
ES,Review-variations,172,5,2,18.5,0.0,0.0
ES,Trust,28,2,2,10.0,0.0,0.0
ET,BrandProtection,0,0,0,0.0,0.0,0.0
ET,Features,0,0,0,0.0,0.0,0.0
ET,ProductReview,1,0,0,0.0,0.0,0.0
ET,Review-variations,1,1,1,2.5,0.0,0.0
FI,BrandProtection,7,0,0,0.0,0.0,0.0
FI,Competitors,9,1,0,2.5,0.0,0.0
FI,Features,4,0,0,0.0,0.0,0.0
FI,ProductReview,34,4,1,17.0,1.0,30.45
FI,Review-variations,17,0,0,0.0,0.0,0.0
FI,Trust,1,0,0,0.0,0.0,0.0
FJ,Competitors,2,0,0,0.0,0.0,0.0
FJ,Features,0,0,0,0.0,0.0,0.0
FO,Features,0,0,0,0.0,0.0,0.0
FR,BrandProtection,255,8,2,1.6,0.0,0.0
FR,Competitors,356,23,16,62.0,0.0,0.0
FR,Features,236,17,10,84.0,0.0,0.0
FR,ProductReview,322,38,29,103.1,1.0,15.22
FR,Review-variations,209,10,5,26.14,0.0,0.0
FR,Trust,24,0,0,0.0,0.0,0.0
GA,Competitors,1,0,0,0.0,0.0,0.0
GB,BrandProtection,174,4,2,0.8,0.0,0.0
GB,Competitors,390,11,4,29.0,0.0,0.0
GB,Features,320,21,16,99.1,0.0,0.0
GB,ProductReview,751,136,105,347.5,1.0,15.22
GB,Review-variations,332,15,9,57.82,0.0,0.0
GB,Trust,47,2,1,9.0,0.0,0.0
GD,Review-variations,0,0,0,0.0,0.0,0.0
GE,BrandProtection,1,0,0,0.0,0.0,0.0
GE,Competitors,3,0,0,0.0,0.0,0.0
GE,Features,6,0,0,0.0,0.0,0.0
GE,ProductReview,5,3,2,9.0,0.0,0.0
GE,Review-variations,1,0,0,0.0,0.0,0.0
GE,Trust,0,0,0,0.0,0.0,0.0
GF,Competitors,1,0,0,0.0,0.0,0.0
GG,Review-variations,0,0,0,0.0,0.0,0.0
GH,Features,15,2,1,9.5,0.0,0.0
GH,ProductReview,6,2,1,7.1,0.0,0.0
GH,Review-variations,9,2,1,10.0,0.0,0.0
GI,Features,0,0,0,0.0,0.0,0.0
GL,Review-variations,0,0,0,0.0,0.0,0.0
GM,Features,0,0,0,0.0,0.0,0.0
GN,BrandProtection,0,0,0,0.0,0.0,0.0
GN,Competitors,1,0,0,0.0,0.0,0.0
GN,Features,1,0,0,0.0,0.0,0.0
GN,ProductReview,0,0,0,0.0,0.0,0.0
GN,Review-variations,1,0,0,0.0,0.0,0.0
GN,Trust,0,0,0,0.0,0.0,0.0
GP,Review-variations,1,0,0,0.0,0.0,0.0
GR,BrandProtection,8,1,0,0.2,0.0,0.0
GR,Competitors,18,2,1,5.0,0.0,0.0
GR,Features,22,0,0,0.0,0.0,0.0
GR,ProductReview,13,5,5,16.1,0.0,0.0
GR,Review-variations,6,0,0,0.0,0.0,0.0
GR,Trust,1,0,0,0.0,0.0,0.0
GT,BrandProtection,2,0,0,0.0,0.0,0.0
GT,Competitors,8,0,0,0.0,0.0,0.0
GT,Features,3,0,0,0.0,0.0,0.0
GT,ProductReview,4,0,0,0.0,0.0,0.0
GT,Review-variations,3,0,0,0.0,0.0,0.0
GT,Trust,3,0,0,0.0,0.0,0.0
GY,ProductReview,1,0,0,0.0,0.0,0.0
HK,BrandProtection,17,0,0,0.0,0.0,0.0
HK,Competitors,46,0,0,0.0,0.0,0.0
HK,Features,53,4,2,20.0,0.0,0.0
HK,ProductReview,118,16,10,33.2,1.0,15.0
HK,Review-variations,61,4,1,13.32,0.0,0.0
HK,Trust,11,1,1,5.0,0.0,0.0
HN,Competitors,3,0,0,0.0,0.0,0.0
HN,ProductReview,2,0,0,0.0,0.0,0.0
HN,Review-variations,1,0,0,0.0,0.0,0.0
HR,BrandProtection,4,0,0,0.0,0.0,0.0
HR,Competitors,3,0,0,0.0,0.0,0.0
HR,Features,2,0,0,0.0,0.0,0.0
HR,ProductReview,14,3,2,6.1,0.0,0.0
HR,Review-variations,15,1,0,5.0,0.0,0.0
HT,BrandProtection,1,0,0,0.0,0.0,0.0
HT,Competitors,0,0,0,0.0,0.0,0.0
HT,Features,0,0,0,0.0,0.0,0.0
HU,BrandProtection,13,0,0,0.0,0.0,0.0
